ZIP,STATE,CITY,COUNTY,POPULATION
92021,California,El Cajon,San Diego County,"70,501"
11215,New York,Brooklyn,Kings County,"70,441"
34711,Florida,Clermont,Lake County,"70,317"
30047,Georgia,Lilburn,Gwinnett County,"70,121"
87114,New Mexico,Albuquerque,Bernalillo County,"70,117"
94509,California,Antioch,Contra Costa County,"70,090"
90003,California,Los Angeles,Los Angeles County,"70,065"
7055,New Jersey,Passaic,Passaic County,"70,002"
77386,Texas,Spring,Montgomery County,"69,980"
77406,Texas,Richmond,Fort Bend County,"69,918"
27519,North Carolina,Cary,Wake County,"69,836"
77469,Texas,Richmond,Fort Bend County,"69,826"
77095,Texas,Houston,Harris County,"69,767"
33186,Florida,Miami,Miami-Dade County,"69,757"
94513,California,Brentwood,Contra Costa County,"69,755"
77373,Texas,Spring,Harris County,"69,739"
93230,California,Hanford,Kings County,"69,684"
95123,California,San Jose,Santa Clara County,"69,677"
75056,Texas,The Colony,Denton County,"69,628"
30188,Georgia,Woodstock,Cherokee County,"69,518"
10463,New York,Bronx,Bronx County,"69,470"
10023,New York,New York,New York County,"69,455"
29072,South Carolina,Lexington,Lexington County,"69,407"
95687,California,Vacaville,Solano County,"69,390"
11691,New York,Far Rockaway,Queens County,"69,359"
90255,California,Huntington Park,Los Angeles County,"69,349"
91766,California,Pomona,Los Angeles County,"69,327"
75098,Texas,Wylie,Collin County,"69,325"
78253,Texas,San Antonio,Bexar County,"69,282"
32828,Florida,Orlando,Orange County,"69,202"
89110,Nevada,Las Vegas,Clark County,"69,107"
77521,Texas,Baytown,Harris County,"69,038"
11706,New York,Bay Shore,Suffolk County,"68,976"
2301,Massachusetts,Brockton,Plymouth County,"68,969"
60641,Illinois,Chicago,Cook County,"68,894"
33015,Florida,Hialeah,Miami-Dade County,"68,891"
11213,New York,Brooklyn,Kings County,"68,846"
92882,California,Corona,Riverside County,"68,715"
30004,Georgia,Alpharetta,Fulton County,"68,707"
29681,South Carolina,Simpsonville,Greenville County,"68,650"
14850,New York,Ithaca,Tompkins County,"68,610"
95206,California,Stockton,San Joaquin County,"68,558"
10469,New York,Bronx,Bronx County,"68,521"
37122,Tennessee,Mount Juliet,Wilson County,"68,492"
89121,Nevada,Las Vegas,Clark County,"68,406"
90631,California,La Habra,Orange County,"68,309"
98682,Washington,Vancouver,Clark County,"68,305"
80016,Colorado,Aurora,Arapahoe County,"68,268"
11434,New York,Jamaica,Queens County,"68,263"
85301,Arizona,Glendale,Maricopa County,"68,178"
10950,New York,Monroe,Orange County,"68,136"
66061,Kansas,Olathe,Johnson County,"67,967"
33178,Florida,Miami,Miami-Dade County,"67,789"
94538,California,Fremont,Alameda County,"67,781"
75228,Texas,Dallas,Dallas County,"67,714"
20147,Virginia,Ashburn,Loudoun County,"67,692"
95624,California,Elk Grove,Sacramento County,"67,630"
43123,Ohio,Grove City,Franklin County,"67,626"
17603,Pennsylvania,Lancaster,Lancaster County,"67,571"
